PAR Value,Solar Irradiance Value,UV Light Value,Quadrat #,Percent Before,Percent After,Percent Change,Treatment
1000,2000,160,1,5,5,0,a
1000,2000,160,1,2,2,0,a
1000,2000,160,1,0.5,0.5,0,a
1000,2000,160,1,0.1,0.1,0,a
1000,2000,160,1,1,1,0,a
1000,2000,160,1,1.5,1.5,0,a
1000,2000,160,1,1,1,0,a
1000,2000,160,1,2,2,0,a
1000,2000,160,1,2,2,0,a
1000,2000,160,1,5,5,0,a
1000,2000,160,1,2,2,0,a
1000,2000,160,1,1,1,0,a
1000,2000,160,1,2,2,0,a
1000,2000,160,1,1,1,0,a
80,160,12.8,2,2,2,0,b
80,160,12.8,2,1,1,0,b
80,160,12.8,2,20,20,0,b
80,160,12.8,2,1,1,0,b
80,160,12.8,2,30,30,0,b
80,160,12.8,2,70,70,0,b
80,160,12.8,2,20,20,0,b
80,160,12.8,2,35,35,0,b
80,160,12.8,3,70,70,0,a
80,160,12.8,3,40,80,1,a
80,160,12.8,3,20,60,2,a
80,160,12.8,3,30,50,0.6666666667,a
80,160,12.8,4,30,40,0.3333333333,b
80,160,12.8,4,30,40,0.3333333333,b
80,160,12.8,4,35,35,0,b
80,160,12.8,4,35,37,0.05714285714,b
80,160,12.8,4,40,40,0,b
30,60,4.8,5,30,35,0.1666666667,a
30,60,4.8,5,20,40,1,a
30,60,4.8,5,60,70,0.1666666667,a
30,60,4.8,5,50,70,0.4,a
30,60,4.8,5,15,30,1,a
30,60,4.8,5,15,40,1.666666667,a
30,60,4.8,5,1,25,24,a
30,60,4.8,5,5,30,5,a
27,54,4.32,6,1,20,19,b
27,54,4.32,6,1,25,24,b
27,54,4.32,6,2,20,9,b
27,54,4.32,6,30,33,0.1,b
27.54,55.08,4.4064,7,80,60,-0.25,a
41.24,82.48,6.5984,8,60,60,0,b
42.32,84.64,6.7712,8,35,40,0.1428571429,b
29.95,59.9,4.792,9,50,70,0.4,a
31.96,63.92,5.1136,9,45,50,0.1111111111,a
6.91,13.82,1.1056,10,30,35,0.1666666667,b
5.96,11.92,0.9536,10,50,90,0.8,b
61.48,122.96,9.8368,11,2,45,21.5,a
103.7,207.4,16.592,11,35,80,1.285714286,a
135.41,270.82,21.6656,12,85,80,-0.05882352941,b
19.51,39.02,3.1216,12,1,7,6,b
41.03,82.06,6.5648,12,55,40,-0.2727272727,b
1803,3606,288.48,13,2,23,10.5,a
1432.3,2864.6,229.168,13,40,60,0.5,a
1117,2234,178.72,13,35,50,0.4285714286,a
1204.5,2409,192.72,13,3,60,19,a
1286.9,2573.8,205.904,13,80,90,0.125,a
647.3,1294.6,103.568,13,50,60,0.2,a
1694,3388,271.04,14,40,50,0.25,b
1022.5,2045,163.6,14,70,60,-0.1428571429,b
66.4,132.8,10.624,14,40,60,0.5,b
1086.1,2172.2,173.776,14,55,70,0.2727272727,b
689.5,1379,110.32,14,35,50,0.4285714286,b
1102.4,2204.8,176.384,15,90,96,0.06666666667,a
704.2,1408.4,112.672,15,20,30,0.5,a