obs_id,N,E,z
1,-39.091,-26.821,-6.451
2,-40.153,-25.104,-6.515
3,-38.289,-24.766,-6.723
4,-36.708,-26.42,-6.846
5,-35.628,-24.682,-6.696
6,-36.355,-22.849,-6.798
7,-34.372,-19.332,-6.58
8,-35.682,-16.667,-6.711
9,-38.716,-17.686,-6.492
10,-36.202,-31.799,-6.21
11,-30.556,-33.169,-6.25
12,-32.104,-35.818,-6.279
13,-30.042,-31.919,-6.267
14,-30.136,-36.109,-5.905
15,-29.414,-35.538,-5.933
16,-27.452,-33.458,-6.042
17,-26.282,-32.215,-6.077
18,-27.574,-32.375,-6.099
19,-32.749,-32.203,-6.355
20,-31.357,-30.72,-6.212
BM,-57.184,41.616,-1.38